,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,others,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
1014,@Suns @SouthwestAir @DeandreAyton Here is my Deandre Ayton bobblehead UNBOXING video! #NBA #TimeToRise #Suns #NBARooks #DeandreAyton https://youtu.be/TmLDKSH4m4o pic.twitter.com/IUIIJHyizr,brandoncondron, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,awh i’m sorry em,lookingskinny,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1016,Yah right......I have never had a bag get there....I can't wait for the rest of this....,Pat83264981,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,@Delta thanks for getting me out of #Buffalo tonight @go4theGoldy @PatHentgen,kevinwills,🙏🏼,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1018,What slow lounge dreams are made of...Good morning! @british_airways #slowlounge #airports #familytravel https:// ift.tt/2Tc097l pic.twitter.com/1cCvhzg4s1,thetravelmanuel,,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1019,@Delta I’m grading y’all an F. https://twitter.com/melmira/status/1089686011410612224 …,ilpz584,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1020,Holy fuck. I fly @AmericanAir all the time... and now I have to seriously reconsider.,GalvinAlmanza,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1021,"@AmericanAir We’re on the ground in dfw from dca, early! But waiting for a gate. Worried about making fly 1436 to LIR. You will hold it, right???",OnTheFenceWrite,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1022,Finally pic.twitter.com/W3NzwUTFeQ,tonywilliams68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,My point exactly. And no not a service dog. This must be a new policy from @AmericanAir because I have been seeing a lot more of it lately. First time one has been next to me,nysteve27,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1024,You guys are seriously the best airline ever!!!!,AlanaHyland,❤️ ❤️ 🙌🏼 🙌🏼 🙌🏼 🙌🏼,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1025,Social blows up brand crises? Who knew! Loving this panel featuring Lisa Goode of @SouthwestAir! #PRNewspic.twitter.com/ngvaq1I26v,skitts_nm,🤔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,"I paid extra for bags so would like that refunded. We are now missing over 20K worth of custom gear. On the outbound trip we were missing vital items we cannot acquire in Fiji. This has also been draining with my time involved having to track items, file reports. . .",LizEntwhistle,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1027,Just checked prices from oakland to maui over 1200 for 2 tickets...scam,party_of_5,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1028,"I agree, it was awesome pre-911 then worsened significantly. I was happy lately to notice it got a lot better over the last few years and especially the last year or so. This one flight has ruined @americanair though. Still hasn’t taken off.",marlaneto,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,The @British_Airways Concorde Room at JFK now has a gin & tonic trolley! I'll definitely have to sample some of this in a bit. #PaxEx pic.twitter.com/IbbOfzvK90 – bei The Concorde Room,FlyingPhotog,,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1030,"@SouthwestAir My impression was apply for the Rapid Rewards Card, and use it right away. I don't want to lose the flights in which I'm interested. Seems like a bait and switch to me. Can you explain?",FarquharGrade4,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1031,@British_Airways are you having issues with your password reset for BA executive club? Thanks,Hamazing88,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1032,@Delta love how easy it was to rebook using the app. Keep up the good work!,quimblygibbler,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1033,I flew on one last Thursday.,CarenZee,🙋🏻‍♀️,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,@British_Airways where are my Tier points flew RJ183 on 12Jan as part of BA ticket. Faxed claim on 31st from LHR FIrst lounge spoke to gold line on 4th who confirmed receipt and approval of claim (40tps) who said tier point would be posted within 14 days. Please can you help,pauljsmith1956,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1035,"@AmericanAir hi! I have an EARLY morning flight tomorrow (Friday) that just got delayed. Because of this, I will miss my connecting flight. I need rebooked ASAP. Help!",hannahbananas88,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1036,"If I am EVER on a @Delta flight that isn’t late I swear I will leave the airport as soon as I am off the plane and buy at least $100 of lottery tickets. Because I am here to tell you, the day a flight I am on with @Delta isn’t late, THAT is some special day.",bitterotis,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1037,"@AmericanAir if i book a first class trip to DXb from PHX through ORD, do i get acces to lounge?",HeIsCountry,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1038,"Second time in a couple of months that a shared @vueling @British_Airways @Iberia_en flight is overbooked... not very good, may just not buy this flight again! both times has 1) left passengers behind 2) been delayed for those who managed to get in the flight.",CrisSuFe,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1039,Shameful! Two GAs @LGA just delayed 2 planes full of people because they didn’t notice the inbound had arrived for 45 min. This is completely avoidable. @AmericanAir,YesMissWin,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1040,Did so,NancyIrelandOtt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,No I won't be able to make that one. We're not leaving untill 2:10,boilerguy2412,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1042,"I’ve decided to try and avoid flying at this point. I used to enjoy it, but airlines keep escalating the classism and pushing seats closer together and then charging for the space we had just a few years ago. @united and @AmericanAir are among the worst.",AMorganByrne,,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1043,"@SouthwestAir PLEEEEASE tell me, where are these 49 dollar fares? pic.twitter.com/ZV72sBKDx0",ColeTres,👏🏾 👏🏾 👏🏾 👏🏾 🤔,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1044,"@British_Airways are you able to fly a single flight on time??? Just one please, I’m sick of being late because of you!",allietribolati,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1045,"All live at DYNASTY LOUNGE @Delta Mall, Effurun Roundabout Warri... @skiibii @djneptune @mackenzie19mc dynasty_lounge https://www.instagram.com/p/BuZaYa8nN-R/?utm_source=ig_twitter_share&igshid=clxy4thhbejp …",CoolbaseMrGold,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,No I did not receive that error. AirAisa change the flight schedule and delayed the flight with 4 hours So I want to cancel the reservation and receive my money back. Tx,Greg_Antierens,,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1047,"#AA sitting on plane at gate in #MIA for flt it #ORD. Wondering if @AmericanAir loaded us “in case” we could leave. Nah. positive thoughts! Positive thoughts. Surely, they would not do that. Surely.....",beeks_gregory,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,Over an hour now. Sitting here. On the tarmac. People are literally losing their shit around me.,krissypissy,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1049,Is this your level of customer service @Delta ??,katiebellsays,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1050,We are totally pulling for you and can’t wait to see you win it!!!!,Lana76006478,🥰 🥰 😸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,"Are you able to share the ""challenges"" you were put through in the sim?",gavinmaclure,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1052,"@Delta @AmericanAir @united I am grateful for every safe flight, but your efforts are bolstered by the diligence and security of @TSA. As a passenger and human, how can we support @TSA during this time? If you’ve organized a support platform, please direct me. #UnitedWeStand",abc18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,Insanely stupid! If SW airlines removed peanuts other airlines NEED to follow and not kill anyone!,vvertel,,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1054,How will you reimburse me for lost time with family we haven't seen in 2 decades and missing a wedding?,ArOhBe34,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1055,Earlier reported that Europe & Canada grounded those planes by US was still flying them. Looks like someone decided to rethink that. That holdup might be keeping you all safe.,imani_gomes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,I’ve now been on hold for an hour and a half... this flight is scheduled for early tomorrow morning.,ashd_3,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1057,We are finally about to leave...almost an hour later! @AmericanAir,FeleciaElana,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1058,"@FakeAACEODoug @FakeAACEODoug In biz on an AA flagship flt last night, I couldn't get inflight entertainment to work. FA pointed at the black plastic where seat back screen should be and said, ""we're going for great."" Hilarious @AmericanAir",JakeCPB,😂,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1059,"I know I'm late to the party but, my vote would have been to have a vodka soda.",ItBeMe_,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,@British_Airways can I upgrade using points? It says to contact you directly rather than me being able to do it in the app. Thanks.,cgoodyjenks,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1061,@Delta you should be giving flight #DL 465 at JFK free drinks for being delayed over an hour and boarding us knowing we would be delayed,_kenziesavage,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1062,@DGAC please have a look on this @AmericanAir flight 1192 with a #Boeing737MAX that enter in the French airspace.https://twitter.com/docles2000/status/1105897001269559296 …,docles2000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,@piersmorgan . Worth reading into my issues with @British_Airways . Not all plane sailing.,Maxtiniii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,"The one time I flew @British_Airways I was a kid. I loved planes, and I asked the crew if I could see the 747s upper deck. Not only did the purser take me and my brother upstairs, he gave each of us one of the first class ammenity bags. It meant a lot as a kid. #BAMagic100",kaufmanprod1,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1065,Get there with @AmericanAir @Delta @SouthwestAir @VacationExpress. More: https://goo.gl/4BxRqL #SpringBreak #Cancunpic.twitter.com/0fACD1NjJj,Fly_Nashville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,@British_Airways the woman’s name who treated me awfully & accused me of trying to enter the USA illegally with no correct knowledge of my visa & admitting she was not part of USA immigration is MILLIE BISRAN!!! I am appalled...I spent months getting my visa approved.... pic.twitter.com/bA4sNWiw83,thisisruthanne,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1067,@Delta will we be able to check-in for an international flight to London 4 hours early in ATL?,aechampion,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1068,"Why does @delta not train virtually ANY front line agents in complex partner bookings. And by ""complex,""I simply mean awards that don't show on http://Delta.com / in their Deltamatic engine. So frustrating to spend so much time trying to get transferred to someone that can",MilesTalk,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1069,"You will :) ! Please check your DM, It’s important :) !",badetzuzu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,Hey @British_Airways can I get some help?!?! Why won’t you let me buy my seats!!!?????!!?,namelessnathan,,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1071,"I never thought I’d say this but even @united is less insulting via twitter than @AmericanAir, where the entire crew is explicitly trained in how to piss off any customer without status.",Matchboxx2010,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1072,"A somewhat sad time with #finfinale , but aviation is really hitting the headlines at the moment. #BA100 #endcliffepark @48FighterWing @RAFMarhamMedia @British_Airways pic.twitter.com/3raDUGjX6S",ChrisFleet,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,Could you tell that to @AmericanAir ??? They left me stranded at LAX on Valentine’s Day I should have flown LL Cool J Airlines!!!,toolbeltdiva,😢 😉,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1074,777? Cmon too easy compared to the Antonov 225,The200K,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,Great congratulation,mariomedellin10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,"@British_Airways I’ve just booked to travel to Barbados next October, and by then will have a 4 month old baby. Do I add the baby on after it’s born? Is there anyway I can reserve the seating at the front of the cabin in premium economy before that? Thanks",MrsAbbieW,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1077,Been trying to book a flight with @SouthwestAir for 40 minutes now. Been hung up on twice after waiting 30 minutes for a call back. Maybe I need to use United or American Airlines?,LaceyWhitehouse,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1078,Waiting for you! Wow.,kevin_t_hardy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,"The founder of @SouthwestAir, Herb Kelleher, has died http://bit.ly/2R711tw pic.twitter.com/hfPtKfuHa7",KJRH2HD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,"Lol @SouthwestAir announcer, talking about how our flight is only half full. ""There are plenty of seats, feel free to spread out. Especially take all the window seats so we can look like we're full when we take off.""",dianamoon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,what will you be doing in saudi arabia?,mags_unfiltered,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,Any chance Southwest will add flights to Myrtle Beach,Parkermom0610,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1083,I think you need to change your airline...,aina_puce,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,Terrible. Terrible.,SStebly,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1085,Enjoy! Think of us.,SteveAdams54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1086,"@British_Airways 55mins staring at a luggage carousel this morning; you really should include this extra hour spent ""travelling"" when advertising your flight times...",picky_Pangolin,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1087,Part of the 757/767 ‘sell’ was Common Cockpit Qualification. What ‘standard’ will NMA/7K7 adopt? 787?,RWMann,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,Nice touch by the #AATeam @AmericanAir in Harrisburg for rolling out the snacks due to the Chicago flight delay. Thank you! pic.twitter.com/MFsZguiREP,studentlifeguru,,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1089,Where is my bag? You guys have no sense of responsibility? No one replied to my email! No information yet!! 9 days and counting,sonamraheja_13,😡,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1090,OMG that sounds HORRIFIC! Sounds to me as if you need an amazing civil rights lawyer on this one !,camera_lassy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,Congrats mate!,SGaz_91,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1092,I need @Delta to train their employees! I PAID to get on an earlier flight and was assured I’m confirmed and just need to get my seat assignments from the gate agent. Gate agent tells me I’m not confirmed but on standby. Seething.,TinaKay511,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1093,I've tried to use the @Delta companion pass twice in the past 6 months and tried to book travel 6-7 months out and conveniently they dont have seats available but I could purchase those seats at full fare if I wanted. Some incentive and loyalty program they have,travis_sherman,,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1094,**checks flight next month to see what kind of plane it is**,RiekT11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,Thanks to @airbus @Boeing @HitachiGlobal @Honda @AmericanAir @AirCanada @FedEx to stop in our booth today #50463 to discover how #AI is changing #passengers experiences for #health and #wellness #apex2019 #apexexpo #ifec #ife #aviation #digitalhealth #Telemedicine #CES19 #CES2019pic.twitter.com/YIezE4KadN,DrJacquesDurand,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,Front of the plane. Back of the car. The only way to go.,genevalaitis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,Kya ho gaya... Kahan chal diye. Delay is very normal problem bro. Say thanks as it is not cancelled.,mittalsandy,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1098,Passengers board first and then you serve drinks in order to allow the flight to be boarded timely and to takeoff timely,lawsportsgal1,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1099,"Finally an announcement from the flight deck after an hour on board a grounded plane. We need to wait another “15-20 minutes” for the next update, as the engineers need to get sign-off on their work. Why on earth did we board this plane before it was flightworthy!? Shocking",Peppziller,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1100,We’d like to get up to PWM to visit my sister who just moved up there. #SouthwestLovesAustin #Sweepstakespic.twitter.com/ycKxt3czBI,dumpkopf,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
